Category,Location/Area,Zone/Type,Details,Risk_Level,Accidents_Cases,Source,Notes
Crime_Location,Swargate,Zone III,"Robbery, Molestation hotspot",High,Highest cases,"Study 2012-2015","Highest robbery and molestation cases [web:41]"
Crime_Location,Deccan,Zone III,"Robbery, Molestation hotspot",High,Highest cases,"Study 2012-2015","Highest robbery and molestation cases [web:41]"
Crime_Location,Bund Garden,Zone V,"Robbery, Molestation hotspot",High,Highest cases,"Study 2012-2015","Highest robbery and molestation cases [web:41]"
Crime_Location,Bibwewadi,Zone III,"Robbery, Molestation hotspot",High,Highest cases,"Study 2012-2015","Highest robbery and molestation cases [web:41]"
Crime_Location,Duttawadi,Zone III,Crime hotspot,High,High risk,"Study 2012-2015","High risk area [web:41]"
Crime_Location,Sahakarnagar,Zone III,Crime hotspot,High,High risk,"Study 2012-2015","High risk area [web:41]"
Crime_Location,Vishrambaugwada,Zone III,Crime hotspot,High,High risk,"Study 2012-2015","High risk area [web:41]"
Crime_Location,Faraskhana,Zone III,Crime hotspot,High,High risk,"Study 2012-2015","High risk area [web:41]"
Crime_Location,Khadak,Zone III,Crime hotspot,High,High risk,"Study 2012-2015","High risk area [web:41]"
Crime_Location,Shivajinagar,Zone III,Crime hotspot,High,High risk,"Study 2012-2015","High risk area [web:41]"
Crime_Location,Tadiwala Road,Zone V,Limboni Nagar area,High,152 cases,Pune Police,"152 cases reported [web:48]"
Crime_Location,Dhankawadi,Zone V,Sahyadri Nagar,High,15 cases,Pune Police,"15 cases reported [web:48]"
Crime_Location,Bundgarden,Zone V,Private Road,High,152 cases,Pune Police,"152 cases [web:48]"
Crime_Location,Kothrud,Zone IV,Moderate crime area,Medium,Moderate,"Study 2012-2015","Moderate crime rate [web:41]"
Crime_Location,Warje,Zone IV,Moderate crime area,Medium,Moderate,"Study 2012-2015","Moderate crime rate [web:41]"
Crime_Location,Sinhagad Road,Zone IV,Moderate crime area,Medium,Moderate,"Study 2012-2015","Moderate crime rate [web:41]"
Crime_Location,Hinjewadi,Zone VI,IT Park area,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Crime_Location,Vishrantwadi,Zone VI,Residential,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Crime_Location,Viman Nagar,Zone VI,Near Airport,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Crime_Location,Hadapsar,Zone V,IT/Commercial,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Crime_Location,Chaturshrungi,Zone VI,Residential,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Crime_Location,Wanawdi,Zone VI,Residential,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Crime_Location,Kondhwa,Zone VI,Residential,Low,Lowest cases,"Study 2012-2015","Lowest crime cases [web:41]"
Dangerous_Road,"Pune-Solapur Road","Hadapsar Police Station",Highway black spot,Very High,"30 fatal/serious","Pune Police 2022-2024","Top dangerous spot [web:51]"
Dangerous_Road,"Katraj-Hadapsar Road","Katraj-Hadapsar","Major corridor",Very High,High,"110 Black Spots","Most dangerous corridor [web:49]"
Dangerous_Road,"Pune-Nagar Road","Pune-Nagar Highway",Highway,Very High,High,"110 Black Spots","High accident rate [web:49]"
Dangerous_Road,"Pune-Satara Road","Pune-Satara Highway","Highway NH-48",Very High,High,"110 Black Spots","High accident rate [web:49]"
Dangerous_Road,"Mumbai-Bengaluru Highway","Pune Section","National Highway",Very High,High,"110 Black Spots","High accident rate [web:49]"
Dangerous_Road,"Pune-Saswad Road","Pune-Saswad",Highway,Very High,High,"110 Black Spots","High accident rate [web:49]"
Dangerous_Road,Navale Bridge,NH-48,Bridge,High,Black spot,NHAI,"Black spot [web:54]"
Dangerous_Road,Vadgaon Bridge,NH-48,Bridge,High,Black spot,NHAI,"Black spot [web:54]"
Dangerous_Road,Warje Bridge,NH-48,Bridge,High,Black spot,NHAI,"Black spot [web:54]"
Dangerous_Road,"Katraj Tunnel Approach",NH-48,Tunnel,High,Black spot,NHAI,"Black spot [web:54]"
Dangerous_Road,Bhor Phata,NH-48,Junction,High,Black spot,NHAI,"Black spot [web:54]"
Dangerous_Road,"Saswad Phata Junction",NH-48,Junction,High,Black spot,NHAI,"Black spot [web:54]"
Dangerous_Road,"Chakan MIDC Junction",NH-48,Junction,High,Black spot,NHAI,"Black spot [web:54]"
Safe_Route,"Koregaon Park Nature Trail","Walking Path","Well-lit, Tree-lined, River",Very Safe,N/A,"Walking Guide","Safe, well-maintained [web:46]"
Safe_Route,Hinjewadi IT Park Area,"Road/Area","Well-lit, Security, IT Park",Very Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,Viman Nagar,"Road/Area","Well-lit, Low crime, Police",Very Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,"Hadapsar Main Road","Road/Area","Well-lit, Commercial, IT",Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,Wanawadi,"Road/Area",Well-lit Residential,Very Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,Kondhwa,"Road/Area",Well-lit Residential,Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,Vishrantwadi,"Road/Area",Well-lit Residential,Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,Chaturshrungi,"Road/Area","Well-lit, Commercial",Safe,N/A,Study,"Lowest crime area [web:41]"
Safe_Route,Tulsibaug Area,"Walking Path","Well-lit, Popular market",Safe,N/A,"Walking Guide","Safe walking spot [web:52]"
Safe_Route,"Vetal Tekdi Trail","Walking Trail","Popular trek, Daytime",Moderate,N/A,"Walking Guide","Popular trek spot [web:50]"
Safe_Route,"Taljai Hills Trail","Walking Trail","Nature trail, Daytime",Moderate,N/A,"Walking Guide","Popular trek spot [web:50]"
